Iteration,SMOTE,Model,Metric,Score,Rank
1,False,Support Vector Machine,f1_macro,0.664317889565141,27.0
3,False,MLP Classifier,f1_macro,0.6643035939373346,28.0
3,True,AdaBoost,f1_macro,0.6641875387895055,29.0
3,False,Logistic Regression,f1_macro,0.6641441985714464,30.0
2,False,AdaBoost,f1_macro,0.6641034800122168,31.0
2,False,Decision Tree,f1_macro,0.6640560506270037,32.0
3,False,Stochastic Gradient Descent,f1_macro,0.6640151033873049,33.0
2,False,Support Vector Machine,f1_macro,0.6639842304463088,34.0
1,False,Logistic Regression,f1_macro,0.663960616404907,35.0
1,False,Gaussian Naive Bayes,f1_macro,0.6638929472078434,36.0
2,False,Logistic Regression,f1_macro,0.6637973686143512,37.0
1,False,MLP Classifier,f1_macro,0.6637636634954959,38.0
3,False,K-Nearest Neighbors,f1_macro,0.6636698468990732,39.0
3,True,XGBoost,f1_macro,0.6635977840140572,40.0
3,False,Random Forest,f1_macro,0.6635905357573478,41.0
2,False,MLP Classifier,f1_macro,0.6635383218597061,42.0
2,False,Gradient Boosting,f1_macro,0.6634984029569749,43.0
3,True,Logistic Regression,f1_macro,0.6634755646283889,44.0
3,False,XGBoost,f1_macro,0.6633440121025328,45.0
3,True,Random Forest,f1_macro,0.6633164333573851,46.0
4,False,Support Vector Machine,f1_macro,0.6631734080200449,47.0
3,True,Stochastic Gradient Descent,f1_macro,0.662507643936483,48.0
4,True,Support Vector Machine,f1_macro,0.6624915188071088,49.0
3,True,K-Nearest Neighbors,f1_macro,0.6623949849412787,50.0
2,True,Stochastic Gradient Descent,f1_macro,0.6623801377382957,51.0
2,True,MLP Classifier,f1_macro,0.6623388867413118,52.0
3,True,Decision Tree,f1_macro,0.6622718999053232,53.0
4,False,XGBoost,f1_macro,0.6622623202659401,54.0
3,True,Support Vector Machine,f1_macro,0.6622555374342899,55.0
4,False,MLP Classifier,f1_macro,0.6620284520923634,56.0
4,True,MLP Classifier,f1_macro,0.6619610205650773,57.0
2,False,XGBoost,f1_macro,0.6619176889619915,58.0
1,True,Gaussian Naive Bayes,f1_macro,0.6619130748376899,59.0
2,True,XGBoost,f1_macro,0.6618614523763473,60.0
4,True,Stochastic Gradient Descent,f1_macro,0.6618521940849067,61.0
4,True,Random Forest,f1_macro,0.6618508929865479,62.0
4,True,AdaBoost,f1_macro,0.6618408404853089,63.0
4,False,Decision Tree,f1_macro,0.6617860981552417,64.0
4,False,Stochastic Gradient Descent,f1_macro,0.6617752975265018,65.0
4,False,Random Forest,f1_macro,0.6617237530045953,66.0
2,False,Random Forest,f1_macro,0.6617033635559496,67.0
2,False,K-Nearest Neighbors,f1_macro,0.6616526337399675,68.0
2,False,Stochastic Gradient Descent,f1_macro,0.6615781867930763,69.0
4,False,K-Nearest Neighbors,f1_macro,0.6614977250476533,70.0
0,False,XGBoost,f1_macro,0.6614763885909111,71.0
2,True,Support Vector Machine,f1_macro,0.6614590656038196,72.0
4,True,Gaussian Naive Bayes,f1_macro,0.6613167003683956,73.0
4,True,K-Nearest Neighbors,f1_macro,0.6612886258991102,74.0
3,True,Gradient Boosting,f1_macro,0.6612208053885602,75.0
4,False,AdaBoost,f1_macro,0.6611856804778491,76.0
2,True,AdaBoost,f1_macro,0.6611243902855588,77.0
4,True,Logistic Regression,f1_macro,0.6611009894649946,78.0
4,False,Gaussian Naive Bayes,f1_macro,0.6609978654404831,79.0
2,True,K-Nearest Neighbors,f1_macro,0.6609059523281826,80.0
2,True,Gaussian Naive Bayes,f1_macro,0.660890088509066,81.0
4,True,Decision Tree,f1_macro,0.6607580699321745,82.0
2,True,Random Forest,f1_macro,0.6603507836615798,83.0
2,True,Gradient Boosting,f1_macro,0.6603014456308286,84.0
4,False,Logistic Regression,f1_macro,0.6602342062127712,85.0
0,False,AdaBoost,f1_macro,0.6599068960256158,86.0
4,False,Gradient Boosting,f1_macro,0.6599025577772939,87.0
4,True,Gradient Boosting,f1_macro,0.6598619982467155,88.0
0,True,Gaussian Naive Bayes,f1_macro,0.6597440609613829,89.0
0,True,MLP Classifier,f1_macro,0.6596813738129288,90.0
0,True,Decision Tree,f1_macro,0.6595458877711035,91.0
2,True,Decision Tree,f1_macro,0.6594786031766934,92.0
0,True,Support Vector Machine,f1_macro,0.6593804125668485,93.0
0,True,AdaBoost,f1_macro,0.6591555587914506,94.0
2,True,Logistic Regression,f1_macro,0.6591349901875957,95.0
0,False,MLP Classifier,f1_macro,0.6591219731301214,96.0
0,True,Stochastic Gradient Descent,f1_macro,0.6590948850289786,97.0
0,True,XGBoost,f1_macro,0.6590567058011624,98.0
0,False,Random Forest,f1_macro,0.6588136938587397,99.0
0,False,Decision Tree,f1_macro,0.6587006735937777,100.0
0,False,Gradient Boosting,f1_macro,0.658421570471368,101.0
0,False,Support Vector Machine,f1_macro,0.6583607901288487,102.0
0,True,Gradient Boosting,f1_macro,0.658010531305926,103.0
0,False,Stochastic Gradient Descent,f1_macro,0.6579964985833303,104.0
0,True,K-Nearest Neighbors,f1_macro,0.6578537179548436,105.0
0,True,Logistic Regression,f1_macro,0.657835993223792,106.0
0,False,Gaussian Naive Bayes,f1_macro,0.6575626809601401,107.0
0,False,K-Nearest Neighbors,f1_macro,0.6571387362549038,108.0
0,True,Random Forest,f1_macro,0.6557742728949318,109.0
0,False,Logistic Regression,f1_macro,0.6556412582107776,110.0
1,False,Support Vector Machine,precision_macro,0.6932135054636808,1.0
1,False,MLP Classifier,precision_macro,0.6931876147189675,2.0
1,False,XGBoost,precision_macro,0.692955419404577,3.0
1,False,Logistic Regression,precision_macro,0.6928853028530796,4.0
1,False,Gradient Boosting,precision_macro,0.6928428264224281,5.0
1,False,Gaussian Naive Bayes,precision_macro,0.692339197506047,6.0
1,False,Decision Tree,precision_macro,0.6920726951350517,7.0
1,False,K-Nearest Neighbors,precision_macro,0.6918276814961009,8.0
1,True,Random Forest,precision_macro,0.6917515032829897,9.0
1,True,Support Vector Machine,precision_macro,0.6916958437678031,10.0
1,True,MLP Classifier,precision_macro,0.6915916208805186,11.0
1,True,Stochastic Gradient Descent,precision_macro,0.6914014453834059,12.0
1,False,AdaBoost,precision_macro,0.6913164000120522,13.0
3,False,Random Forest,precision_macro,0.6909059827828112,14.0
1,True,K-Nearest Neighbors,precision_macro,0.6908956111500814,15.0
3,False,AdaBoost,precision_macro,0.6907500066237448,16.0
3,False,Support Vector Machine,precision_macro,0.6907469757254542,17.0
1,False,Random Forest,precision_macro,0.6907325003389384,18.0
1,True,Decision Tree,precision_macro,0.6904754912561,19.0
3,False,MLP Classifier,precision_macro,0.6903871046110182,20.0
3,False,Gradient Boosting,precision_macro,0.6903116300553238,21.0
3,False,XGBoost,precision_macro,0.6901178582700999,22.0
1,True,XGBoost,precision_macro,0.690011799865252,23.0
1,False,Stochastic Gradient Descent,precision_macro,0.6899626800347511,24.0
1,True,Logistic Regression,precision_macro,0.6898701226824,25.0
1,True,AdaBoost,precision_macro,0.6898239558465328,26.0
3,True,K-Nearest Neighbors,precision_macro,0.6897428795472659,27.0
3,False,Stochastic Gradient Descent,precision_macro,0.6897186029793317,28.0
4,False,Logistic Regression,precision_macro,0.6897163974665478,29.0
3,False,Logistic Regression,precision_macro,0.6897107174502985,30.0
3,True,Stochastic Gradient Descent,precision_macro,0.6896148305605256,31.0
4,False,Decision Tree,precision_macro,0.689347578244716,32.0
4,False,MLP Classifier,precision_macro,0.6891517752611562,33.0
3,True,Logistic Regression,precision_macro,0.689136248893625,34.0
3,False,Gaussian Naive Bayes,precision_macro,0.6891286270535844,35.0
1,True,Gaussian Naive Bayes,precision_macro,0.6890710131119158,36.0
1,True,Gradient Boosting,precision_macro,0.6888324375296144,37.0
2,False,Random Forest,precision_macro,0.6888132831183822,38.0
2,False,XGBoost,precision_macro,0.688493116743737,39.0
2,False,Gaussian Naive Bayes,precision_macro,0.6883399392789893,40.0
3,False,K-Nearest Neighbors,precision_macro,0.6883025635416768,41.0
4,False,Gaussian Naive Bayes,precision_macro,0.6882612690335594,42.0
3,True,Gaussian Naive Bayes,precision_macro,0.6880938620859232,43.0
3,True,AdaBoost,precision_macro,0.6880270505487569,44.0
3,True,Random Forest,precision_macro,0.6879386784175501,45.0
4,False,Gradient Boosting,precision_macro,0.687712294999737,46.0
3,True,XGBoost,precision_macro,0.6876644130590114,47.0
2,False,Logistic Regression,precision_macro,0.6876037483279525,48.0
4,True,K-Nearest Neighbors,precision_macro,0.6875441083292572,49.0
3,True,Support Vector Machine,precision_macro,0.6875027956590196,50.0
3,True,Decision Tree,precision_macro,0.6872486314205135,51.0
0,True,Gradient Boosting,precision_macro,0.6872030293444064,52.0
2,False,K-Nearest Neighbors,precision_macro,0.687200298705972,53.0
4,True,Support Vector Machine,precision_macro,0.6871327582077964,54.0
4,False,Support Vector Machine,precision_macro,0.6870498548493912,55.0
2,False,Support Vector Machine,precision_macro,0.6870445062496137,56.0
3,False,Decision Tree,precision_macro,0.6869075275777021,57.0
0,False,K-Nearest Neighbors,precision_macro,0.6868790856760251,58.0
4,False,Random Forest,precision_macro,0.6868601946204368,59.0
2,False,AdaBoost,precision_macro,0.6868433707397376,60.0
2,False,MLP Classifier,precision_macro,0.686818090566624,61.0
4,False,K-Nearest Neighbors,precision_macro,0.6868017808048104,62.0
3,True,MLP Classifier,precision_macro,0.6867721053148066,63.0
0,False,Gaussian Naive Bayes,precision_macro,0.6866961026194558,64.0
0,False,XGBoost,precision_macro,0.6866807270870918,65.0
0,False,Gradient Boosting,precision_macro,0.6865849516623734,66.0
4,False,AdaBoost,precision_macro,0.6865098494785828,67.0
2,False,Gradient Boosting,precision_macro,0.6864721741139774,68.0
2,False,Decision Tree,precision_macro,0.6864276763361215,69.0
0,False,Stochastic Gradient Descent,precision_macro,0.6863641477424366,70.0
0,False,MLP Classifier,precision_macro,0.6863216700855486,71.0
4,False,XGBoost,precision_macro,0.6863022161275735,72.0
4,False,Stochastic Gradient Descent,precision_macro,0.6861968502690299,73.0
0,True,Random Forest,precision_macro,0.6861291548878574,74.0
4,True,XGBoost,precision_macro,0.6860791740650398,75.0
0,False,Support Vector Machine,precision_macro,0.6860560326420193,76.0
0,True,Decision Tree,precision_macro,0.686041423570595,77.0
4,True,Decision Tree,precision_macro,0.6859703911343347,78.0
4,True,Logistic Regression,precision_macro,0.6859322108968248,79.0
2,True,Logistic Regression,precision_macro,0.6859015911539605,80.0
3,True,Gradient Boosting,precision_macro,0.685879426092016,81.0
4,True,Random Forest,precision_macro,0.6857115314167185,82.0
4,True,Gradient Boosting,precision_macro,0.6856810947398546,83.0
