Category1,Category2,Category3,Category4,Category5,Category6,Category7,Mean_g_per_day,StandardDeviation,Coefficient of Variation,Cost_100g,Calories_kcal_per_100g,Fat_g,Saturates_g,Carbs_g,Sugars_g,Fibre_g,Protein_g,Salt_g,CO2_g_per_100g,Animal Welfare Rating,Rainforest Rating,Water Scarcity Rating,CO2 FU Rating,Group A veg,Group A fruit,Group B,Oily Fish,Red Meat,Group C,Group D,Group E,Oil,Bread,Confectionary
Milk and dairy products,Fermented milk or cream,Fermented milk products,Yoghurt,"Yoghurt, cow milk","Yoghurt, cow milk, flavoured","Yoghurt, cow milk, flavoured",15.43553804,31.24330378,2.02411498,0.2,104,1.2,0.8,13.7,12.6,0.5,4.1,0.09,221.692,E,E,A,C,0,0,0,0,0,0,0,1,0,0,0
Grains and grain-based products,Bread and similar products,Leavened bread and similar,Wheat bread and rolls,"Wheat bread and rolls, brown or wholemeal","Wheat bread and rolls, brown or wholemeal","Wheat bread and rolls, brown or wholemeal",11.25286175,22.53148693,2.0022895,0.28,228,2.6,0.5,37,3.3,6.1,11,0.95,73.868,E,A,A,A,0,0,0,0,0,0,1,0,0,1,0
Milk and dairy products,"Milk, whey and cream",Milk,Cattle milk,Cow milk,"Cow milk, whole","Cow milk, whole",69.97485179,131.8826972,1.884715635,0.064,66,3.7,2.4,4.7,4.7,0,3.5,0.22,194.188,E,E,A,C,0,0,0,0,0,0,0,1,0,0,0
Meat and meat products,Mammals and birds meat,Mammals meat,Bovine fresh meat,"Cow, ox or bull fresh meat","Cow, ox or bull fresh meat","Cow, ox or bull fresh meat",8.939196604,16.06731775,1.797400646,1.175,126,4.8,2.2,0,0,0,20.7,0.2,1688.442,E,E,A,E,0,0,1,0,1,0,0,0,0,0,0
Eggs,Eggs,Eggs,Eggs,Eggs,Eggs,Eggs,7.711236984,13.69608022,1.776119739,0.44,143,9.6,2.7,0.5,0.5,0.5,14.1,0.38,271.258,E,E,A,B,0,0,1,0,0,0,0,0,0,0,0
"Sugar and similar, confectionery and water-based sweet desserts",Confectionery including chocolate,Chocolate and chocolate products,Chocolate/cocoa-based products,Chocolate coated confectionery,Chocolate coated confectionery,Chocolate coated confectionery,5.53719764,9.425866207,1.702280977,0.161,503,25,15,61,53,0,8.5,0.42,398.375,E,A,A,B,0,0,0,0,0,0,0,0,0,0,1
Meat and meat products,Processed whole meat products,Raw cured (or seasoned) meat,Cured seasoned pork meat,"Ham, pork","Ham, pork","Ham, pork",6.027721412,9.985159193,1.656539596,0.8,123,0.9,0.3,1,0.5,0.6,27.5,2.4,1147.192,E,E,A,D,0,0,1,0,1,0,0,0,0,0,0
Meat and meat products,Sausages,Fresh raw sausages,Breakfast-type sausage,Breakfast-type sausage,Breakfast-type sausage,Breakfast-type sausage,12.98896561,20.9976166,1.616573423,0.44,301,21.9,7.3,8.9,1.6,1,16.6,1.3,793.192,E,E,A,B,0,0,0,0,1,1,0,0,0,0,0
Grains and grain-based products,"Pasta, doughs and similar products",Pasta and similar products,"Pasta, plain (not stuffed), uncooked","Pasta, plain (not stuffed), uncooked","Pasta, plain (not stuffed), uncooked","Pasta, plain (not stuffed), uncooked",19.06447965,28.7125334,1.506074854,0.28,359,2,0.5,71,3.5,3,13,0.01,129.375,A,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Milk and dairy products,Cheese,Ripened cheese,Firm - ripened cheeses,"Hard cheese (cheddar, emmental type)","Cheese, cheddar","Cheese, cheddar",7.59490565,11.22572649,1.478060032,0.75,416,34.9,21.7,0.1,0.1,0,25.4,1.81,941.692,E,E,A,C,0,0,0,0,0,0,0,1,0,0,0
Milk and dairy products,"Milk, whey and cream",Milk,Cattle milk,Cow milk,"Cow milk, semi skimmed (half fat)","Cow milk, semi skimmed (half fat)",105.8594095,141.1339497,1.333220641,0.064,50,1.8,1.1,4.8,4.8,0,3.6,0.11,180.188,E,E,A,C,0,0,0,0,0,0,0,1,0,0,0
Meat and meat products,Mammals and birds meat,Birds meat,Poultry fresh meat (muscle meat),Chicken fresh meat,Chicken fresh meat,Chicken fresh meat,18.62739523,22.90906226,1.229858602,0.285,225,15.5,4,0.5,0.5,0.5,21.1,0.16,451.33,E,E,A,B,0,0,1,0,0,0,0,0,0,0,0
"Starchy roots or tubers and products thereof, sugar plants",Starchy roots and tubers,Potatoes and similar-,Potatoes,Potatoes,Potatoes,Potatoes,36.63737023,38.70179545,1.056347527,0.095,75,0.5,0.1,15.9,0.8,1.6,1.8,0.01,14.432,A,A,A,A,0,0,0,0,0,0,1,0,0,0,0
Grains and grain-based products,Bread and similar products,Leavened bread and similar,Wheat bread and rolls,"Wheat bread and rolls, white (refined flour)","Wheat bread and rolls, white (refined flour)","Wheat bread and rolls, white (refined flour)",49.76980911,39.2969505,0.789574065,0.17,248,2.8,1.3,45,4,2.4,9.4,0.95,125.375,A,E,A,A,0,0,0,0,0,0,1,0,0,1,0
