,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_clip_obs,params_ent_coef,params_gae_lambda,params_gamma,params_initialization_strategy,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_max_ingredients,params_n_steps,params_net_arch_depth,params_net_arch_width,params_norm_reward,params_normalize_advantage,params_ortho_init,params_rms_prop_eps,params_sde_sample_freq,params_use_rms_prop,params_use_sde,params_vf_coef,state
35,35,239.57925740000002,2024-07-01 09:54:46.432545,2024-07-01 10:09:54.659066,0 days 00:15:08.226521,elu,50.0,0.005028401825478403,1.0,0.9908241697648328,,0.0019022057358024842,linear,0.9,8,100.0,2.0,512.0,False,True,False,0.004646052049383294,40.0,True,False,0.29605363726719647,COMPLETE
36,36,268.4939752,2024-07-01 09:57:13.968087,2024-07-01 10:12:22.368061,0 days 00:15:08.399974,tanh,100.0,0.00014543244271760062,0.98,0.9843475012161969,,0.003866475211929124,constant,0.9,8,50.0,2.0,32.0,False,False,True,0.017319310172875572,2.0,True,False,0.40110123753166993,COMPLETE
37,37,242.59885119999998,2024-07-01 09:58:27.095727,2024-07-01 10:14:04.223990,0 days 00:15:37.128263,leaky_relu,10.0,0.00034494907505249937,0.98,0.9630330388670739,,0.0010650390351500166,linear,2.0,6,50.0,1.0,256.0,True,False,False,0.0015725510674947226,56.0,True,True,0.1925758048259192,COMPLETE
38,38,13.9059554,2024-07-01 10:09:54.713495,2024-07-01 10:24:38.461881,0 days 00:14:43.748386,leaky_relu,5.0,0.005509664440201234,0.9,0.961012871799458,,0.03618877922986362,linear,2.0,6,200.0,1.0,256.0,True,False,False,5.376562540243097e-05,59.0,True,True,0.22075915044041505,COMPLETE
39,39,274.7216606,2024-07-01 10:12:22.422958,2024-07-01 10:25:51.446849,0 days 00:13:29.023891,elu,100.0,0.00012143633857597885,0.98,0.9872649699871736,,0.0017385220362676065,constant,0.9,8,50.0,2.0,8.0,False,False,True,0.021482275061442957,7.0,True,False,0.33617195076970985,COMPLETE
40,40,69.9876286,2024-07-01 10:14:04.281343,2024-07-01 10:34:07.423708,0 days 00:20:03.142365,elu,100.0,0.0003449028265727022,0.98,0.9677788284710069,,5.7813284337744685e-05,linear,0.9,8,5.0,2.0,32.0,False,True,True,0.022448059932867588,14.0,True,False,0.3305012764694823,COMPLETE
41,41,15.6357656,2024-07-01 10:24:38.521593,2024-07-01 10:40:59.288213,0 days 00:16:20.766620,tanh,100.0,6.060111815545026e-06,0.98,0.9806007205072652,,0.0003272337879101113,constant,0.3,6,10.0,2.0,32.0,False,False,True,0.01406832580567515,14.0,True,False,0.4073550929685505,COMPLETE
42,42,141.82691559999998,2024-07-01 10:25:51.497976,2024-07-01 10:39:42.974607,0 days 00:13:51.476631,elu,100.0,5.075636102964776e-05,0.98,0.975454943166519,,0.0004888531296420203,constant,0.5,8,50.0,3.0,8.0,True,False,False,0.00942887012981204,9.0,True,False,0.7210127916785045,COMPLETE
43,43,5.2,2024-07-01 10:34:07.467599,2024-07-01 10:55:03.271462,0 days 00:20:55.803863,leaky_relu,5.0,0.00022600195416389474,0.98,0.9986952735316407,,0.08124720928739718,constant,0.9,8,5.0,2.0,128.0,False,True,True,0.06603796328770956,8.0,True,False,0.3365949086349692,COMPLETE
44,44,6.1,2024-07-01 10:39:43.020320,2024-07-01 10:53:18.715198,0 days 00:13:35.694878,tanh,5.0,0.0005870677477742708,0.98,0.9769161784803141,,0.2815912365516888,constant,0.9,8,50.0,2.0,16.0,False,True,False,0.022373295889672948,8.0,True,False,0.5496564847809677,COMPLETE
