CMDLINE /home/laurie2905/anaconda3/envs/masterEnv/bin/python src/models/envs/env.py
MEM 878.925781 1718115835.6590
MEM 878.925781 1718115835.7592
MEM 878.925781 1718115835.8596
MEM 879.183594 1718115835.9600
MEM 879.183594 1718115836.0604
MEM 879.183594 1718115836.1608
MEM 879.183594 1718115836.2612
MEM 879.183594 1718115836.3615
MEM 879.441406 1718115836.4619
MEM 879.441406 1718115836.5622
MEM 879.441406 1718115836.6626
MEM 879.441406 1718115836.7630
MEM 879.441406 1718115836.8633
MEM 879.699219 1718115836.9638
MEM 879.699219 1718115837.0641
MEM 879.699219 1718115837.1644
MEM 879.699219 1718115837.2648
MEM 879.699219 1718115837.3651
MEM 879.957031 1718115837.4656
MEM 879.957031 1718115837.5659
MEM 879.957031 1718115837.6663
MEM 879.957031 1718115837.7666
MEM 879.957031 1718115837.8670
MEM 880.214844 1718115837.9674
MEM 880.214844 1718115838.0679
MEM 880.214844 1718115838.1682
MEM 880.214844 1718115838.2685
MEM 880.472656 1718115838.3688
MEM 880.472656 1718115838.4692
MEM 880.472656 1718115838.5696
MEM 880.472656 1718115838.6700
MEM 880.472656 1718115838.7703
MEM 880.730469 1718115838.8707
MEM 880.730469 1718115838.9711
MEM 880.730469 1718115839.0714
MEM 880.730469 1718115839.1718
MEM 880.730469 1718115839.2722
MEM 880.988281 1718115839.3727
MEM 880.988281 1718115839.4730
MEM 880.988281 1718115839.5734
MEM 880.988281 1718115839.6737
MEM 880.988281 1718115839.7741
MEM 881.246094 1718115839.8744
MEM 881.246094 1718115839.9747
MEM 881.246094 1718115840.0751
MEM 881.246094 1718115840.1755
MEM 881.246094 1718115840.2758
MEM 881.503906 1718115840.3761
MEM 881.503906 1718115840.4765
MEM 881.503906 1718115840.5769
MEM 881.503906 1718115840.6774
MEM 881.761719 1718115840.7777
MEM 881.761719 1718115840.8780
MEM 881.761719 1718115840.9784
MEM 881.761719 1718115841.0787
MEM 881.761719 1718115841.1791
MEM 882.019531 1718115841.2794
MEM 882.019531 1718115841.3798
MEM 882.019531 1718115841.4802
MEM 882.019531 1718115841.5805
MEM 882.019531 1718115841.6808
MEM 882.277344 1718115841.7812
MEM 882.277344 1718115841.8815
MEM 882.277344 1718115841.9820
MEM 882.277344 1718115842.0824
MEM 882.277344 1718115842.1828
MEM 882.277344 1718115842.2831
MEM 882.535156 1718115842.3835
MEM 882.535156 1718115842.4838
MEM 882.535156 1718115842.5842
MEM 882.535156 1718115842.6845
MEM 882.535156 1718115842.7848
MEM 882.792969 1718115842.8851
MEM 882.792969 1718115842.9856
MEM 882.792969 1718115843.0860
MEM 882.792969 1718115843.1864
MEM 882.792969 1718115843.2867
MEM 882.792969 1718115843.3872
MEM 883.050781 1718115843.4875
MEM 883.050781 1718115843.5879
MEM 883.050781 1718115843.6883
MEM 883.050781 1718115843.7887
MEM 883.050781 1718115843.8891
MEM 883.308594 1718115843.9895
MEM 883.308594 1718115844.0898
MEM 883.308594 1718115844.1902
MEM 883.308594 1718115844.2905
MEM 883.308594 1718115844.3909
MEM 883.308594 1718115844.4912
MEM 883.566406 1718115844.5915
MEM 883.566406 1718115844.6918
MEM 883.566406 1718115844.7922
MEM 883.566406 1718115844.8926
MEM 883.566406 1718115844.9930
MEM 883.824219 1718115845.0934
MEM 883.824219 1718115845.1938
MEM 883.824219 1718115845.2942
MEM 883.824219 1718115845.3945
MEM 883.824219 1718115845.4950
MEM 884.082031 1718115845.5953
MEM 884.082031 1718115845.6957
MEM 884.082031 1718115845.7961
MEM 884.082031 1718115845.8965
MEM 884.082031 1718115845.9968
MEM 884.339844 1718115846.0972
